   Прізвище Ім'я, Група, Середній бал
Байтов Артем,КБ-24,88.5
Гігавольт Марина,КБ-24,79.3
Деплойко Владислав,КБ-24,92.7
Коденко Олександра,КБ-24,85.6
Лаговська Софія,КБ-24,74.2
Максименко Ігор,КБ-24,90.1
Піксельчук Данило,КБ-24,81.4
Програменко Владислав,КБ-24,95.2
Хакеренко Катерина,КБ-24,86.3
Чипізатор Олеся,КБ-24,89.0
Алгоритмов Тарас,КБ-24,84.7
Баганов Михайло,КБ-24,76.9
Компілов Стас,КБ-24,91.3
Апдейтова Вероніка,КБ-24,80.2
Фреймвордов Роман,КБ-24,78.6
Гігабайтович Євгеній,КБ-24,97.1
Клавішенко Артем,КБ-24,82.5
Скріншотов Дмитро,КБ-24,70.8
Джаваскриптова Ірина,КБ-24,88.9
