   Прізвище Ім'я, Група, Середній бал
Аналізенко Дмитро,КІ-24,85.4
Бекендов Максим,КІ-24,90.2
Вебович Артем,КІ-24,88.1
Датабазов Андрій,КІ-24,79.7
Запитова Олена,КІ-24,91.5
Кешован Марк,КІ-24,76.8
Логінова Катерина,КІ-24,84.3
Мереженко Ігор,КІ-24,89.9
Нейромережна Дарина,КІ-24,95.7
Оптимізенко Павло,КІ-24,82.1
Потоков Владислав,КІ-24,77.6
Рендерук Євген,КІ-24,80.4
Серверний Олексій,КІ-24,86.9
Тестувальська Марина,КІ-24,92.3
Фронтендов Олег,КІ-24,83.5
Хмаренко Назар,КІ-24,78.2
Циклович Ярослав,КІ-24,85.0
Шифрук Віталій,КІ-24,87.6
Юзерова Софія,КІ-24,93.1
Інтерфейсов Ілля,КІ-24,81.7
